,SNumber,Date,Time,DNumber,Dtime,Ptime
168,2200,03.03.23,14:42:54,1057705,   06:00,4:39:00
169,2200,06.03.23,11:12:48,1057705,   03:00,4:39:00
176,2200,21.03.23,14:32:42,1066185,   02:00,4:39:00
187,2200,01.06.23,14:21:00,1050005,   05:00,4:39:00
188,2200,01.06.23,14:28:30,84954143057,   01:00,4:39:00
189,2200,01.06.23,14:32:54,1069877,   02:00,4:39:00
190,2200,01.06.23,14:30:24,84954143057,2:22:00,4:39:00
191,2200,03.07.23,08:48:54,1050005,   04:00,4:39:00
197,2200,26.07.23,17:04:24,1057705,   04:00,4:39:00
198,2200,23.08.23,10:56:00,88734551591,   00:00,4:39:00
199,2200,23.08.23,10:56:00,87345515,   00:00,4:39:00
200,2200,23.08.23,10:57:00,873455,   00:00,4:39:00
251,2201,31.12.19,15:41:00,1022325,   00:00,2:53:00
266,2201,17.01.20,09:16:06,1018732,   07:00,2:53:00
270,2201,29.01.20,17:56:12,1018732,   01:00,2:53:00
271,2201,03.02.20,13:50:48,1018732,   01:00,2:53:00
272,2201,07.02.20,14:54:24,1017634,   01:00,2:53:00
273,2201,07.02.20,14:55:00,1021704,   01:00,2:53:00
280,2201,25.02.20,17:15:30,1044614,   01:00,2:53:00
281,2201,25.02.20,17:17:30,1044614,   01:00,2:53:00
282,2201,26.02.20,13:39:54,89280901551,   01:00,2:53:00
285,2201,03.03.20,15:47:36,1018732,   07:00,2:53:00
294,2201,26.05.20,11:14:36,89998271964,   01:00,2:53:00
315,2201,09.07.20,12:45:48,88734771060,   01:00,2:53:00
316,2201,09.07.20,12:45:42,771060,   01:00,2:53:00
317,2201,09.07.20,12:47:30,771060,   01:00,2:53:00
327,2201,03.08.20,13:35:48,1068069,   02:00,2:53:00
355,2201,02.03.21,10:05:24,1050005,   02:00,2:53:00
372,2201,28.05.21,08:56:30,1050005,   04:00,2:53:00
373,2201,31.05.21,08:58:30,1050005,   02:00,2:53:00
375,2201,05.07.21,12:59:54,1018009,   02:00,2:53:00
386,2201,29.07.21,11:57:00,1078791,   01:00,2:53:00
388,2201,03.08.21,10:23:54,1050005,   04:00,2:53:00
401,2201,08.10.21,11:44:30,770532,   02:00,2:53:00
409,2201,29.12.21,10:48:24,89626410545,   01:00,2:53:00
410,2201,30.12.21,15:53:24,1050307,   04:00,2:53:00
411,2201,30.12.21,15:57:36,1050307,   01:00,2:53:00
412,2201,30.12.21,18:30:24,1050005,   05:00,2:53:00
413,2201,30.12.21,18:43:48,1050034,   01:00,2:53:00
422,2201,09.03.22,11:35:00,1074908,   01:00,2:53:00
423,2201,16.03.22,16:20:18,1050005,   03:00,2:53:00
424,2201,16.03.22,16:25:00,1050005,   01:00,2:53:00
425,2201,17.03.22,11:50:00,1025917,   00:00,2:53:00
426,2201,17.03.22,12:25:12,1025917,   03:00,2:53:00
427,2201,17.03.22,12:37:06,1025824,   06:00,2:53:00
430,2201,11.04.22,14:56:12,1077261,   17:00,2:53:00
433,2201,09.06.22,13:25:00,8107896,   00:00,2:53:00
446,2201,26.12.23,17:45:48,722026,   01:00,2:53:00
448,2201,22.02.23,14:50:18,1038735,   03:00,2:53:00
449,2201,22.02.23,14:53:30,1039547,   12:00,2:53:00
450,2201,22.02.23,15:12:54,1039547,   06:00,2:53:00
451,2201,28.02.23,12:20:24,1038735,   01:00,2:53:00
452,2201,28.02.23,12:21:12,1039547,   09:00,2:53:00
453,2201,02.03.23,15:56:30,84957714267,   01:00,2:53:00
454,2201,02.03.23,15:58:36,1014615,   05:00,2:53:00
463,2201,06.06.23,16:52:18,1050005,   05:00,2:53:00
465,2201,07.07.23,11:40:24,8373778,   04:00,2:53:00
466,2201,07.07.23,11:44:48,8373503,   02:00,2:53:00
467,2201,07.07.23,11:51:00,8373003,   30:00,2:53:00
476,2201,20.09.23,12:10:18,84957303000,   02:00,2:53:00
482,2202,24.10.22,12:05:48,1050005,   02:00,0:58:00
505,2202,26.10.22,17:16:42,1078880,   08:00,0:58:00
506,2202,26.10.22,17:27:54,1026389,   03:00,0:58:00
521,2202,01.11.22,10:49:54,1078084,   09:00,0:58:00
523,2202,01.11.22,14:20:06,1078712,   28:00,0:58:00
524,2202,01.11.22,16:00:18,1050005,   03:00,0:58:00
540,2202,14.11.22,09:54:54,1027277,   02:00,0:58:00
554,2202,23.11.23,17:20:48,1026549,   01:00,0:58:00
558,2203,20.05.20,11:04:54,987345,   01:00,0:46:00
559,2203,15.06.20,14:30:42,8734771228,   01:00,0:46:00
560,2203,13.10.20,10:54:18,89188163154,   02:00,0:46:00
561,2203,13.10.20,11:39:48,89188163154,   03:00,0:46:00
566,2203,09.02.21,15:16:54,88734550795,   02:00,0:46:00
568,2203,01.03.21,15:51:54,88732771484,   01:00,0:46:00
569,2203,03.03.21,10:08:00,8832,   00:00,0:46:00
570,2203,03.03.21,10:10:00,88732771484,   00:00,0:46:00
571,2203,03.03.21,10:09:54,88732771419,   01:00,0:46:00
572,2203,03.03.21,10:09:54,88732771411,   01:00,0:46:00
573,2203,03.03.21,10:10:54,88732771407,   01:00,0:46:00
574,2203,03.03.21,10:12:00,88732771418,   00:00,0:46:00
583,2203,01.10.21,15:31:48,88734551799,   02:00,0:46:00
584,2203,05.10.21,12:40:00,816453,   00:00,0:46:00
585,2203,05.10.21,12:39:42,8816453,   01:00,0:46:00
592,2203,23.12.21,17:21:48,8550411,   01:00,0:46:00
600,2203,27.12.21,10:32:42,8734771085,   01:00,0:46:00
601,2203,27.12.21,10:33:24,771085,   01:00,0:46:00
602,2203,27.12.21,12:13:18,771085,   01:00,0:46:00
603,2203,27.12.21,12:14:30,771173,   04:00,0:46:00
607,2203,28.02.22,14:55:42,8734554178,   01:00,0:46:00
608,2203,28.02.22,14:58:00,8734554178,   00:00,0:46:00
610,2203,28.02.22,15:00:42,8734554178,   01:00,0:46:00
638,2203,23.09.22,12:38:18,84956768423,   07:00,0:46:00
646,2203,20.03.23,12:59:54,89064880300,   02:00,0:46:00
648,2203,20.03.23,13:02:06,89380080000,   01:00,0:46:00
649,2203,20.03.23,13:02:48,89380080000,   01:00,0:46:00
650,2203,20.03.23,13:03:36,89380080000,   01:00,0:46:00
651,2203,31.03.23,14:23:54,88734444156,   04:00,0:46:00
652,2203,31.03.23,14:31:42,88734444156,   01:00,0:46:00
666,2203,11.07.23,17:33:48,89188271452,   01:00,0:46:00
671,2203,18.08.23,12:57:30,88734771150,   01:00,0:46:00
674,2203,22.09.23,11:01:00,81999,   00:00,0:46:00
689,2203,15.11.23,14:54:54,670878,   01:00,0:46:00
779,2204,29.04.20,11:15:36,771139,   01:00,2:38:00
849,2204,03.07.20,15:18:48,1018710,   03:00,2:38:00
875,2204,29.07.20,13:47:00,199901,   00:00,2:38:00
876,2204,29.07.20,13:50:00,1999,   00:00,2:38:00
879,2204,29.07.20,15:02:00,1061426,   00:00,2:38:00
897,2204,20.08.20,16:24:48,1018655,   01:00,2:38:00
898,2204,20.08.20,16:49:54,1018655,   05:00,2:38:00
927,2204,08.10.20,08:56:12,1019372,   01:00,2:38:00
928,2204,08.10.20,10:58:36,1019372,   01:00,2:38:00
930,2204,13.10.20,11:48:00,1061459,   00:00,2:38:00
931,2204,13.10.20,11:48:36,1039362,   01:00,2:38:00
932,2204,13.10.20,11:49:30,1019363,   01:00,2:38:00
933,2204,13.10.20,13:11:30,1018740,   14:00,2:38:00
939,2204,13.10.20,16:01:54,770981,   01:00,2:38:00
941,2204,14.10.20,15:04:36,1018740,   03:00,2:38:00
949,2204,19.10.20,10:51:30,770981,   01:00,2:38:00
969,2204,10.11.20,09:20:48,1019251,   01:00,2:38:00
970,2204,10.11.20,09:21:06,1019253,   05:00,2:38:00
971,2204,10.11.20,10:51:12,1019253,   06:00,2:38:00
972,2204,10.11.20,14:18:48,1019253,   06:00,2:38:00
1003,2204,08.12.20,09:36:18,1077807,   01:00,2:38:00
1005,2204,08.12.20,10:29:30,1077807,   19:00,2:38:00
1015,2204,18.12.20,10:37:54,1077807,   06:00,2:38:00
1016,2204,18.12.20,11:50:12,1018601,   01:00,2:38:00
1023,2204,23.12.20,11:31:00,1061446,   00:00,2:38:00
1024,2204,23.12.20,11:52:00,1061446,   00:00,2:38:00
1027,2204,23.12.20,14:43:00,1018496,   00:00,2:38:00
1029,2204,23.12.20,14:54:30,1015384,   01:00,2:38:00
1030,2204,23.12.20,14:55:18,1019354,   03:00,2:38:00
1034,2204,24.12.20,16:41:36,1068423,   02:00,2:38:00
1035,2204,24.12.20,16:42:30,1015446,   03:00,2:38:00
1047,2204,12.01.21,14:15:48,771008,   01:00,2:38:00
1048,2204,12.01.21,16:52:00,771008,   00:00,2:38:00
1071,2204,15.03.21,14:42:54,1019407,   01:00,2:38:00
1073,2204,15.03.21,15:23:48,1019407,   06:00,2:38:00
1118,2204,12.04.21,12:02:36,771046,   01:00,2:38:00
1120,2204,12.04.21,12:11:12,771046,   07:00,2:38:00
1128,2204,15.04.21,14:27:12,771046,   02:00,2:38:00
1130,2204,15.04.21,15:13:30,771046,   01:00,2:38:00
1131,2204,15.04.21,15:14:12,771046,   01:00,2:38:00
1135,2204,16.04.21,15:32:12,771046,   02:00,2:38:00
1159,2204,02.06.21,11:28:06,1018537,   01:00,2:38:00
1160,2204,02.06.21,11:32:36,1018537,   03:00,2:38:00
1174,2204,08.06.21,15:40:30,1078880,   04:00,2:38:00
1175,2204,08.06.21,15:44:42,1057771,   08:00,2:38:00
1177,2204,29.06.21,14:01:00,1015638,   03:00,2:38:00
1187,2204,02.07.21,14:20:00,1015638,   04:00,2:38:00
1229,2204,10.03.22,16:38:48,1050005,   06:00,2:38:00
1231,2204,23.03.22,14:16:18,84992770238,   03:00,2:38:00
1233,2204,26.04.22,16:38:00,88007070070,   00:00,2:38:00
1235,2204,30.06.22,15:33:48,771046,   02:00,2:38:00
1239,2204,29.08.22,12:04:24,1050005,   06:00,2:38:00
1245,2204,08.02.23,17:19:00,1050005,   02:00,2:38:00
1260,2204,12.09.23,15:53:36,84957303000,   02:00,2:38:00
1261,2204,12.09.23,17:24:36,84957303000,   01:00,2:38:00
1262,2204,12.09.23,17:24:36,84957303000,   01:00,2:38:00
1263,2204,12.09.23,17:25:06,84957303000,   01:00,2:38:00
1269,2204,25.12.23,16:24:00,374532,   00:00,2:38:00
1270,2204,25.12.23,16:26:00,8374532,   01:00,2:38:00
1273,2205,11.10.21,08:28:18,1078791,   01:00,46:31:00
1274,2205,11.10.21,08:30:00,1014412,   01:00,46:31:00
1275,2205,11.10.21,08:31:06,1014506,   01:00,46:31:00
1278,2205,17.02.22,16:06:18,89287272408,   02:00,46:31:00
1279,2205,17.02.22,16:07:54,89287272408,   01:00,46:31:00
1280,2205,17.02.22,16:09:00,89287272408,   00:00,46:31:00
1281,2205,17.02.22,16:08:36,89282997707,   01:00,46:31:00
1282,2205,17.02.22,16:09:42,89280970749,   02:00,46:31:00
1283,2205,10.03.22,10:25:06,1078791,   02:00,46:31:00
1286,2205,10.03.22,15:10:42,89888007363,   11:00,46:31:00
1287,2205,10.03.22,15:24:24,89280970749,   01:00,46:31:00
1288,2205,10.03.22,15:24:30,89280970749,   01:00,46:31:00
1289,2205,10.03.22,15:25:24,89287272408,   01:00,46:31:00
1290,2205,10.03.22,15:26:42,89282997707,   01:00,46:31:00
1291,2205,10.03.22,15:26:48,89282997707,   01:00,46:31:00
1292,2205,23.03.22,14:42:00,89286972280,   01:00,46:31:00
1293,2205,23.03.22,14:44:00,89280970749,   01:00,46:31:00
1294,2205,23.03.22,14:45:12,89280970749,   02:00,46:31:00
1295,2205,23.03.22,14:49:30,89282997707,   01:00,46:31:00
1296,2205,23.03.22,14:56:48,89282997707,   01:00,46:31:00
1297,2205,13.04.22,14:09:00,89287274106,   41:00,46:31:00
1303,2205,26.04.22,10:32:06,1057704,   04:00,46:31:00
1312,2205,12.07.22,15:06:48,89284804237,1:01:00,46:31:00
1313,2205,19.07.22,14:25:36,89280970749,   16:00,46:31:00
1314,2205,27.07.22,15:00:48,89280970749,   01:00,46:31:00
1315,2205,27.07.22,15:00:54,89280970749,   01:00,46:31:00
1316,2205,27.07.22,15:01:42,89280970749,   01:00,46:31:00
1317,2205,27.07.22,15:02:24,89282997707,   06:00,46:31:00
1318,2205,27.07.22,15:07:54,89280970749,   01:00,46:31:00
1319,2205,27.07.22,15:08:06,89280970749,   05:00,46:31:00
1322,2205,19.10.22,09:39:42,1078828,   02:00,46:31:00
1331,2205,15.02.23,16:46:06,89282997707,   03:00,46:31:00
1332,2205,29.03.23,12:52:06,89280905680,   03:00,46:31:00
1333,2205,29.03.23,15:40:42,771496,   01:00,46:31:00
1334,2205,29.03.23,16:07:42,771496,10:00:00,46:31:00
1335,2205,30.03.23,02:07:00,771496,9:59:00,46:31:00
1336,2205,30.03.23,12:07:00,771496,9:59:00,46:31:00
1337,2205,30.03.23,22:06:00,771496,9:59:00,46:31:00
1338,2205,31.03.23,08:04:42,771496,3:28:00,46:31:00
1339,2205,31.03.23,11:38:36,8988828,   01:00,46:31:00
1340,2205,03.04.23,12:08:48,89252260209,   05:00,46:31:00
1341,2205,03.04.23,12:13:42,771496,   01:00,46:31:00
1355,2206,01.04.21,08:50:54,1050005,   03:00,0:43:00
1356,2206,01.04.21,10:22:18,1050005,   02:00,0:43:00
1362,2206,19.05.21,14:24:30,1050005,   03:00,0:43:00
1366,2206,28.02.22,08:33:12,1050005,   03:00,0:43:00
1370,2206,17.03.22,15:25:12,1050005,   01:00,0:43:00
1375,2206,08.04.22,09:37:18,1050005,   03:00,0:43:00
1379,2206,10.06.22,08:47:00,1068617,   16:00,0:43:00
1385,2206,26.09.22,13:55:30,1050005,   02:00,0:43:00
1394,2206,22.03.23,10:22:42,1050005,   04:00,0:43:00
1412,2206,11.07.23,10:41:48,1050005,   02:00,0:43:00
1414,2206,12.10.23,10:09:00,1050005,   01:00,0:43:00
1415,2206,11.12.23,13:18:42,1050549,   03:00,0:43:00
1417,2207,02.12.19,10:19:24,1057815,   02:00,6:46:00
1418,2207,02.12.19,17:04:24,1057815,   06:00,6:46:00
1419,2207,02.12.19,17:25:18,1057815,   01:00,6:46:00
1420,2207,11.12.19,11:45:06,1057815,   01:00,6:46:00
1425,2207,16.12.19,17:45:12,1057815,   04:00,6:46:00
1428,2207,20.12.19,10:15:00,1015906,   05:00,6:46:00
1429,2207,20.12.19,10:27:06,1057815,   03:00,6:46:00
1430,2207,27.12.19,09:35:30,1057815,   02:00,6:46:00
1432,2207,27.12.19,14:01:24,1057815,   04:00,6:46:00
1433,2207,30.12.19,16:58:48,1057815,   03:00,6:46:00
1435,2207,09.01.20,17:08:12,1057815,   03:00,6:46:00
1437,2207,13.01.20,12:18:12,1057815,   01:00,6:46:00
1438,2207,13.01.20,16:00:00,1057815,   02:00,6:46:00
1441,2207,20.01.20,17:24:00,1077132,   02:00,6:46:00
1445,2207,28.01.20,13:44:48,1019108,   03:00,6:46:00
1450,2207,31.01.20,10:30:06,1066478,   07:00,6:46:00
1451,2207,04.02.20,09:27:06,1066062,   01:00,6:46:00
1452,2207,04.02.20,16:17:36,1069794,   02:00,6:46:00
1453,2207,05.02.20,10:52:24,1057815,   02:00,6:46:00
1455,2207,07.02.20,10:33:42,1057815,   04:00,6:46:00
1456,2207,07.02.20,10:48:54,1019176,   04:00,6:46:00
1459,2207,19.02.20,11:18:18,1019097,   03:00,6:46:00
1460,2207,19.02.20,15:32:30,1057815,   01:00,6:46:00
1461,2207,21.02.20,09:10:00,1057815,   02:00,6:46:00
1465,2207,28.02.20,10:47:36,1066478,   03:00,6:46:00
1466,2207,02.03.20,10:24:42,89287914991,   01:00,6:46:00
1470,2207,27.04.20,08:42:36,1050005,   02:00,6:46:00
1477,2207,28.05.20,12:57:30,1019380,   06:00,6:46:00
1482,2207,03.06.20,15:25:00,1051910,   00:00,6:46:00
1488,2207,15.07.20,08:45:30,89280962829,   01:00,6:46:00
1494,2207,20.07.20,09:06:06,89280962829,   01:00,6:46:00
1498,2207,22.07.20,17:17:54,89257359537,   01:00,6:46:00
1499,2207,22.07.20,17:18:24,89257359537,   01:00,6:46:00
1502,2207,07.08.20,10:25:06,1014928,   08:00,6:46:00
1512,2207,25.08.20,12:20:36,1019139,   03:00,6:46:00
1514,2207,01.09.20,09:57:06,1019139,   13:00,6:46:00
1516,2207,10.09.20,10:57:30,1050005,   03:00,6:46:00
1517,2207,11.09.20,10:17:54,1015743,   02:00,6:46:00
1518,2207,11.09.20,13:50:36,1015743,   02:00,6:46:00
1519,2207,14.09.20,14:10:54,1015743,   02:00,6:46:00
1520,2207,17.09.20,16:11:30,1014910,   01:00,6:46:00
1521,2207,17.09.20,17:14:24,1019176,   02:00,6:46:00
1527,2207,11.11.20,08:46:42,89280962829,   01:00,6:46:00
1529,2207,11.11.20,09:44:18,89280962829,   01:00,6:46:00
1534,2207,04.12.20,11:43:54,1014928,   04:00,6:46:00
1537,2207,11.12.20,11:39:42,8732223296,   01:00,6:46:00
1545,2207,22.12.20,09:25:54,1026550,   03:00,6:46:00
1549,2207,30.12.20,14:47:54,1014463,   03:00,6:46:00
1550,2207,31.12.20,12:02:42,1014854,   01:00,6:46:00
1565,2207,24.02.21,11:34:24,89280962829,   01:00,6:46:00
1576,2207,12.04.21,15:11:48,1057815,   05:00,6:46:00
1577,2207,12.04.21,15:49:24,1057815,   01:00,6:46:00
1580,2207,21.04.21,09:16:12,1057815,   01:00,6:46:00
1583,2207,28.04.21,14:20:30,1050005,   02:00,6:46:00
1585,2207,29.04.21,08:56:00,1050005,   01:00,6:46:00
1590,2207,11.05.21,10:53:12,1050313,   04:00,6:46:00
1613,2207,15.07.21,16:44:54,88734554222,   01:00,6:46:00
1614,2207,15.07.21,16:46:48,88734554222,   01:00,6:46:00
1617,2207,29.07.21,16:49:36,1050005,   02:00,6:46:00
1619,2207,16.08.21,12:26:06,1057815,   02:00,6:46:00
1622,2207,07.09.21,13:59:06,1057815,   04:00,6:46:00
1624,2207,07.09.21,14:36:24,1057815,   01:00,6:46:00
1625,2207,08.09.21,10:18:18,1057815,   01:00,6:46:00
1626,2207,08.09.21,11:27:18,1057815,   02:00,6:46:00
1627,2207,10.09.21,10:32:42,1057815,   05:00,6:46:00
1631,2207,11.10.21,10:48:30,89280962829,   01:00,6:46:00
1632,2207,13.10.21,09:50:12,1057815,   01:00,6:46:00
1633,2207,20.10.21,16:41:12,1019139,   13:00,6:46:00
1638,2207,27.10.21,11:49:48,1019715,   05:00,6:46:00
1642,2207,29.10.21,15:32:06,1019108,   11:00,6:46:00
1652,2207,25.11.21,11:25:24,1057815,   04:00,6:46:00
1657,2207,09.12.21,17:38:06,1057815,   02:00,6:46:00
1665,2207,17.12.21,13:41:12,1060853,   10:00,6:46:00
1667,2207,17.12.21,14:09:42,1077109,   07:00,6:46:00
1669,2207,20.12.21,17:29:00,1077109,   04:00,6:46:00
1670,2207,21.12.21,14:49:48,1014370,   02:00,6:46:00
1679,2207,27.01.22,09:13:54,1050005,   02:00,6:46:00
1680,2207,27.01.22,10:28:54,1057815,   02:00,6:46:00
1683,2207,28.01.22,09:35:30,1057815,   01:00,6:46:00
1684,2207,31.01.22,08:50:36,1050005,   02:00,6:46:00
1685,2207,31.01.22,12:53:24,1050005,   03:00,6:46:00
1686,2207,01.02.22,09:40:54,1057815,   02:00,6:46:00
1688,2207,02.02.22,17:03:12,1057815,   01:00,6:46:00
1697,2207,21.04.22,10:35:48,1067628,   05:00,6:46:00
1701,2207,29.04.22,10:49:12,1050005,   02:00,6:46:00
1702,2207,29.04.22,12:09:54,1050005,   04:00,6:46:00
1703,2207,29.04.22,13:52:18,1039547,   02:00,6:46:00
1704,2207,13.05.22,14:16:54,1050005,   03:00,6:46:00
1710,2207,23.05.22,14:12:06,1077132,   04:00,6:46:00
1725,2207,09.06.22,09:11:18,1077132,   01:00,6:46:00
1737,2207,29.06.22,17:49:48,1050005,   05:00,6:46:00
1768,2207,10.08.22,14:13:18,1019108,   08:00,6:46:00
1802,2207,06.12.23,15:01:42,89287914991,   01:00,6:46:00
1805,2207,13.12.23,12:12:30,1027131,   03:00,6:46:00
1807,2207,20.12.23,09:59:06,1027131,   04:00,6:46:00
1809,2207,22.12.23,13:41:30,1027131,   03:00,6:46:00
1810,2207,23.12.23,15:26:24,1027131,   03:00,6:46:00
1811,2207,23.12.23,16:36:06,89280962829,   01:00,6:46:00
1812,2207,23.12.23,17:07:48,89280962829,   01:00,6:46:00
1813,2207,26.12.23,15:05:36,1027131,   02:00,6:46:00
1814,2207,27.12.23,11:51:24,1077229,   03:00,6:46:00
1815,2207,27.12.23,15:57:18,1077229,   01:00,6:46:00
1816,2207,27.12.23,17:06:36,1077229,   02:00,6:46:00
1817,2207,27.12.23,17:08:30,1027131,   02:00,6:46:00
1819,2207,28.12.23,10:26:00,1027131,   01:00,6:46:00
1828,2207,03.02.23,14:03:18,89280962829,   01:00,6:46:00
1829,2207,03.02.23,14:40:24,89280962829,   01:00,6:46:00
1831,2207,03.02.23,15:22:18,89280962829,   01:00,6:46:00
1834,2207,08.02.23,13:59:00,8373778,   05:00,6:46:00
1847,2207,15.05.23,09:04:42,89280962829,   01:00,6:46:00
1848,2207,15.05.23,09:55:42,89280962829,   01:00,6:46:00
1849,2207,15.05.23,09:55:54,89280962829,   01:00,6:46:00
1850,2207,15.05.23,09:57:00,89280962829,   00:00,6:46:00
1854,2207,22.05.23,10:40:00,8373075,   10:00,6:46:00
1859,2207,23.05.23,10:28:36,1050005,   01:00,6:46:00
1860,2207,23.05.23,10:38:54,1050005,   02:00,6:46:00
1861,2207,23.05.23,11:41:00,1050035,   01:00,6:46:00
1873,2207,30.05.23,16:22:30,1050005,   02:00,6:46:00
1874,2207,30.05.23,16:43:54,1050035,   01:00,6:46:00
1890,2207,13.06.23,11:32:12,8373506,   02:00,6:46:00
1891,2207,13.06.23,12:03:24,1027261,   02:00,6:46:00
1894,2207,14.06.23,10:08:12,1050005,   03:00,6:46:00
1896,2207,19.06.23,17:41:00,1050005,   02:00,6:46:00
1900,2207,27.06.23,19:26:24,1050005,   05:00,6:46:00
1906,2207,19.07.23,17:36:48,1050005,   02:00,6:46:00
1907,2207,31.07.23,13:55:54,1050005,   02:00,6:46:00
1916,2207,25.08.23,15:02:00,1014001,   00:00,6:46:00
1919,2207,01.09.23,16:12:00,1015632,   00:00,6:46:00
1920,2207,01.09.23,16:12:00,1015632,   00:00,6:46:00
1924,2207,04.09.23,17:14:42,8373506,   03:00,6:46:00
1925,2207,04.09.23,17:23:36,8373075,   02:00,6:46:00
1933,2207,13.09.23,09:25:42,1014252,   02:00,6:46:00
1937,2207,25.09.23,11:31:00,8373778,   03:00,6:46:00
1940,2207,28.09.23,14:11:42,8373778,   02:00,6:46:00
1942,2207,13.10.23,10:53:00,1050005,   01:00,6:46:00
1943,2207,17.10.23,12:35:06,8373600,   05:00,6:46:00
1946,2207,25.10.23,12:40:12,1050005,   01:00,6:46:00
1952,2207,31.10.23,09:18:12,1050005,   01:00,6:46:00
1953,2207,31.10.23,11:13:54,1050005,   02:00,6:46:00
1954,2207,31.10.23,11:39:42,1050005,   02:00,6:46:00
1956,2207,31.10.23,14:06:12,1050005,   01:00,6:46:00
1957,2207,31.10.23,14:10:12,1050005,   01:00,6:46:00
1960,2207,08.11.23,11:40:24,1019108,   17:00,6:46:00
1961,2207,14.11.23,10:44:12,8373778,   01:00,6:46:00
1977,2208,03.12.19,14:30:54,81014771,   01:00,7:01:00
1978,2208,03.12.19,14:30:48,1014771,   04:00,7:01:00
1979,2208,03.12.19,14:34:30,1017189,   02:00,7:01:00
1982,2208,05.12.19,10:13:00,84956768001,   00:00,7:01:00
1983,2208,05.12.19,10:14:18,84956768001,   02:00,7:01:00
1995,2208,13.12.19,12:26:24,721481,   03:00,7:01:00
2001,2208,24.12.19,14:17:00,1026311,   01:00,7:01:00
2016,2208,25.12.19,13:35:24,88734444306,   01:00,7:01:00
2017,2208,25.12.19,14:34:18,88734444306,   01:00,7:01:00
2068,2208,25.02.20,12:59:18,1026561,   04:00,7:01:00
2080,2208,28.02.20,08:58:12,1015467,   02:00,7:01:00
2081,2208,28.02.20,10:38:00,1015467,   02:00,7:01:00
2094,2208,10.03.20,10:49:54,84354275815,   01:00,7:01:00
2095,2208,10.03.20,10:50:54,84956768001,   01:00,7:01:00
2096,2208,10.03.20,10:50:54,84956768001,   01:00,7:01:00
2097,2208,10.03.20,10:52:24,1068001,   02:00,7:01:00
2109,2208,17.03.20,12:18:12,1015467,   02:00,7:01:00
2110,2208,17.03.20,13:53:30,84956768001,   01:00,7:01:00
2112,2208,17.03.20,15:28:36,1015467,   01:00,7:01:00
2122,2208,11.06.20,15:05:54,89287482793,   01:00,7:01:00
2123,2208,11.06.20,15:06:12,89287482793,   01:00,7:01:00
2124,2208,19.06.20,16:12:36,1026735,   01:00,7:01:00
2192,2208,30.11.20,12:04:30,89888122103,   01:00,7:01:00
2224,2208,02.02.21,10:29:36,1019811,   01:00,7:01:00
2225,2208,02.02.21,10:40:30,1014678,   01:00,7:01:00
2226,2208,02.02.21,10:42:00,1014684,   00:00,7:01:00
2227,2208,02.02.21,10:44:12,1014684,   02:00,7:01:00
2237,2208,05.02.21,09:56:36,1016654,   05:00,7:01:00
2245,2208,12.02.21,16:16:30,1014678,   01:00,7:01:00
2247,2208,12.02.21,16:54:00,1016848,   02:00,7:01:00
2248,2208,12.02.21,16:56:48,1013956,   01:00,7:01:00
2249,2208,12.02.21,16:58:00,1039568,   01:00,7:01:00
